Portfolio Type,Index,Average Return,Variance,Standard Deviation,Weight 1,Weight 2,Weight 3,Weight 4,Weight 5,Weight 6,Weight 7,Weight 8,Weight 9,Weight 10
Random,24,169949.199773145,114.43868126021509,10.697601659260597,0.01570777982609986,0.13567504734179156,0.05009437957540173,0.07759258889765344,0.17979888500045815,0.021835141440735725,0.21065637070849125,0.1952107439759049,0.0808784233683596,0.03255063986510394
Random,25,171810.30323506088,234.63715972951263,15.31787060036455,0.11303489546532411,0.17632544158695804,0.20965798902258598,0.13407894741214182,0.12856888231627175,0.048292610106274406,0.0991311902060116,0.03824281881682902,0.049464391013543385,0.003202834054059801
Random,26,201084.73758016815,297.18262352796097,17.238985571313673,0.15685287677534182,0.07206153064389761,0.11901096692168124,0.09569945566882514,0.11496338666735849,0.12106960390972668,0.07140897950431552,0.05034817805445448,0.13986311027986928,0.05872191157452991
Random,27,206332.11076686627,414.5335968831534,20.360098155047126,0.17926551251394834,0.16364843710392293,0.020195354096406385,0.14962574368666656,0.016771717002022894,0.04679204395871715,0.04822817531360242,0.09739136713999048,0.12041759911953749,0.15766405006518533
Random,28,183399.3541555283,250.87280969935588,15.838964918811957,0.15434452759297146,0.06647397054905589,0.15444078877713824,0.1283712811514179,0.10238090894580162,0.09478235870193635,0.15414374856230112,0.02270828777829109,0.028331723117623664,0.09402240482346264
Random,29,189407.4576284348,247.32904142293168,15.72669836370405,0.05072600539238415,0.03249353706692056,0.17325086496571254,0.014017080341506236,0.06997227909185949,0.034123170344399316,0.09194682314469906,0.12815065335386533,0.2405187321757376,0.16480085412291576
Random,30,176628.13442200262,254.76359236419606,15.961315496042175,0.07432763341490592,0.03484677650275816,0.17935879704470037,0.2090269353722337,0.18010517212637003,0.09569601509596716,0.1365165264446514,0.028550375134571725,0.003492721968735694,0.058079046895105776
Efficient,1,155177.66055462303,84.87448264969964,9.212734808388856,0.005510823553064951,0.02768004329744169,0.1622867053755872,0.014695500653963118,0.07192342820015715,0.10618453793609665,0.23163311490966262,0.23422836935462993,0.011530839124959303,0.13432663040938783
Efficient,2,157814.98469940806,84.98782108400003,9.218883939176154,0.0059445184753409396,0.025167385260209795,0.15008272185338117,0.01598868745128588,0.06957428726856733,0.11514490807368159,0.23261338586137015,0.24509699988039188,0.012547160606771367,0.127839938021964
Efficient,3,160470.0139736588,85.57455102136805,9.250651383625266,0.006378213397613089,0.022654727223019977,0.13787873833138858,0.017281874248596604,0.06722514633703207,0.12410527821118465,0.2335936568131416,0.25596563040608944,0.013563482088573971,0.12135324563466962
Efficient,4,163142.74837737918,86.65253672547422,9.308734431998488,0.006811908319880712,0.02014206918587742,0.12567475480963541,0.018575061045893213,0.06487600540555735,0.13306564834859147,0.23457392776498046,0.2668342609317076,0.014579803570365481,0.11486655324751949
Efficient,5,165833.18791057265,88.23964245998447,9.393595821621476,0.007245603242143143,0.01762941114878721,0.1134707712881469,0.019868247843173707,0.06252686447414876,0.1420260184858882,0.2355541987168893,0.2777028914572314,0.015596125052144302,0.108379860860528
